indx,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+9,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+10,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+11,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+12,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+13,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+14,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+15,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+16,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+17,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+18,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+19,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+20,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+21,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+22,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+23,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+24,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+25,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+26,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+27,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+28,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+29,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+30,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+31,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+32,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+33,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+34,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+35,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+36,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+37,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+38,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+39,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+9,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+10,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+11,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+12,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+13,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+14,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+15,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+16,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+17,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+18,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+19,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+20,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+21,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+22,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+23,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+24,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+25,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+26,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+27,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+28,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+29,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+30,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+31,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+32,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+33,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+34,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+35,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+36,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+37,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+38,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+39,"NoWind,0.1,0.1,mean","NoWind,0.1,0.1,std","NoWind,0.1,0.1,min","NoWind,0.1,0.1,max","Windy,0.1,0.1,mean","Windy,0.1,0.1,std","Windy,0.1,0.1,min","Windy,0.1,0.1,max"
0.0,-325.8666666666667,-352.1333333333333,-462.6,-378.1666666666667,-394.26666666666665,-640.7666666666667,-398.53333333333336,-1251.7666666666669,-357.4,-484.53333333333336,-587.8333333333334,-286.0,-382.5,-467.03333333333336,-402.6,-281.53333333333336,-1115.6333333333334,-523.6666666666666,-694.8,-520.8,-1170.4666666666667,-492.8,-526.6333333333333,-956.8,-552.6666666666666,-1149.9666666666667,-307.03333333333336,-301.6666666666667,-1078.1333333333334,-541.6666666666666,-864.1,-1226.8,-1233.0666666666666,-502.5,-337.3333333333333,-406.4333333333333,-535.8,-342.6666666666667,-956.7333333333332,-296.46666666666664,-875.5,-763.3,-1681.4333333333334,-1901.8,-1284.0666666666666,-1317.7,-1269.1,-713.8,-1410.1,-1726.9,-1137.2,-1297.9,-789.7,-1212.1,-1259.9,-822.7,-1657.9,-1248.4,-1314.4,-1243.9333333333334,-687.4,-733.6,-779.8,-769.9,-829.3,-733.6,-1182.4,-1271.5,-1769.8,-1769.1333333333334,-1164.0666666666666,-720.4,-812.8,-740.2,-822.7,-822.7,-773.2,-859.0,-1662.7,-1323.1,-602.2041666666667,313.2702968222213,-1251.7666666666669,-281.53333333333336,-1128.878333333333,365.59269207490394,-1901.8,-687.4
15.0,-85.56666666666666,-1047.1,-100.0,-1288.0,-100.0,-783.4,-100.0,-82.7,-917.2333333333332,-974.3,-100.0,-1222.0,-135.36666666666667,-83.5,-720.2666666666667,-100.0,-100.0,-1075.0333333333333,-173.66666666666666,-1202.2,-1025.7666666666669,-302.6333333333333,-100.0,-687.2666666666667,-3337.3,-1087.9,-81.8,-215.5,-156.2,-2122.9,-966.5,-953.0666666666668,-87.2,-527.0333333333333,-156.5,-322.8,-1364.1333333333334,-568.6666666666666,-290.43333333333334,-87.06666666666666,-928.3,-100.0,-2709.7,-426.7,-495.76666666666665,-959.7,-100.0,-100.0,-185.8,-106.6,-624.7,-100.0,-1637.8,-182.66666666666663,-502.6,-248.5,-100.0,-152.8,-2831.2,-595.0,-100.0,-100.0,-100.0,-100.0,-2832.4,-106.6,-1014.3666666666668,-109.9,-3370.3,-291.4,-100.0,-2301.1,-172.6,-100.0,-185.8,-100.0,-103.3,-103.3,-1137.7,-103.3,-620.7750000000001,670.8586572382092,-3337.3,-81.8,-640.4974999999998,910.4434797518458,-3370.3,-100.0
30.0,-1019.9,-100.0,-139.8,-922.5666666666668,-1406.8,-1049.5,-100.0,-100.0,-977.7,-5050.0,-162.7,-1136.2,-669.3333333333334,-184.03333333333333,-159.6,-150.03333333333333,-3307.6,-100.0,-1803.4333333333327,-1122.5333333333333,-788.4666666666667,-111.63333333333334,-257.1,-86.7,-3367.0,-215.5,-628.0,-179.63333333333333,-1359.0666666666666,-100.0,-205.6,-1819.1,-473.56666666666666,-100.0,-169.3,-168.93333333333334,-3386.8,-126.4,-169.3,-129.7,-2354.1,-100.0,-113.2,-146.2,-284.8,-390.4,-100.0,-106.6,-199.0,-126.4,-103.3,-100.0,-100.0,-100.0,-859.0,-100.0,-100.0,-258.4,-100.0,-179.2,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-390.4,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-2959.3,-100.0,-837.5883333333334,1135.4082651532653,-5050.0,-86.7,-276.7575,573.5618670439338,-2959.3,-100.0
45.0,-1259.3666666666666,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1117.0,-984.6333333333332,-5050.0,-146.2,-5050.0,-93.7,-1268.3666666666666,-100.0,-1276.4666666666667,-100.0,-189.1,-100.0,-100.0,-655.5333333333333,-130.13333333333333,-1220.5333333333333,-100.0,-3370.3,-5050.0,-100.0,-210.3333333333333,-1049.7,-100.0,-100.0,-100.0,-805.0,-100.0,-136.3,-2680.6,-3403.3,-133.0,-189.1,-159.4,-100.0,-100.0,-100.0,-2919.6,-100.0,-1743.6333333333334,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-205.6,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-119.8,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-930.7016666666666,1459.5523133028858,-5050.0,-93.7,-214.71583333333336,509.8222213460354,-2919.6,-100.0
60.0,-1017.6333333333332,-100.0,-100.0,-64.83333333333333,-100.0,-100.0,-162.7,-1136.3,-100.0,-5050.0,-152.8,-5050.0,-100.0,-1079.8,-100.0,-1072.2666666666669,-100.0,-5050.0,-100.0,-126.93333333333334,-884.8666666666667,-133.23333333333332,-1062.4333333333334,-100.0,-3334.0,-5050.0,-100.0,-173.46666666666667,-944.9,-100.0,-100.0,-100.0,-1039.8,-68.96666666666667,-232.0,-2522.2,-3426.4,-100.0,-208.9,-2495.8,-100.0,-100.0,-100.0,-100.0,-100.0,-4124.366666666667,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-245.2,-100.0,-142.9,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-113.2,-100.0,-100.0,-100.0,-100.0,-1076.0058333333336,1601.6272980724668,-5050.0,-64.83333333333333,-205.64166666666665,635.9369886608325,-4124.366666666667,-100.0
75.0,-945.4666666666668,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-873.8,-100.0,-5050.0,-100.0,-5050.0,-100.0,-1170.3666666666666,-312.96666666666664,-123.96666666666668,-100.0,-100.0,-100.0,-123.6,-100.0,-154.46666666666667,-867.5333333333333,-100.0,-380.3666666666667,-100.0,-100.0,-100.0,-1356.9,-100.0,-100.0,-336.3333333333333,-851.1333333333333,-100.0,-172.6,-100.0,-100.0,-100.0,-5050.0,-100.0,-100.0,-100.0,-100.0,-100.0,-103.3,-100.0,-100.0,-100.0,-100.0,-100.0,-2509.0,-100.0,-100.0,-100.0,-5927.8,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-6079.6,-103.3,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-5086.3,-100.0,-100.0,-630.4875,1316.876397289123,-5050.0,-100.0,-580.2325,1528.8711212286414,-6079.6,-100.0
90.0,-1071.9666666666667,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-969.7,-285.1666666666667,-100.0,-100.0,-100.0,-100.0,-154.9,-100.0,-160.6,-1081.3666666666666,-100.0,-447.3666666666667,-100.0,-100.0,-1710.4,-1193.6333333333334,-100.0,-100.0,-117.36666666666666,-100.0,-100.0,-192.4,-100.0,-100.0,-100.0,-5050.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-4921.3,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-154.13333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-380.87166666666667,846.8799472112939,-5050.0,-100.0,-221.88583333333335,762.1430287242061,-4921.3,-100.0
105.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.53333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-115.66666666666669,-100.0,-493.4666666666666,-100.0,-100.0,-418.53333333333336,-167.36666666666667,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-185.8,-100.0,-100.0,-100.0,-5050.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-4987.3,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-245.23416666666668,783.281511851521,-5050.0,-78.53333333333333,-222.18249999999998,772.7499804270459,-4987.3,-100.0
120.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-127.03333333333332,-100.0,-100.0,-100.0,-81.03333333333333,-100.0,-100.0,-100.0,-100.0,-94.8,-100.0,-100.0,-100.0,-100.0,-100.0,-88.1,-100.0,-100.0,-100.0,-100.0,-100.0,-101.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-233.36666666666667,-123.1,-100.0,-100.0,-100.0,-100.0,-265.0,-5073.1,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-194.53333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.79916666666666,5.680764201129274,-127.03333333333332,-81.03333333333333,-234.72750000000005,785.446883556219,-5073.1,-100.0
135.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.66666666666667,-100.0,-100.0,-100.0,-100.0,-143.96666666666667,-152.56666666666666,-3367.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-129.7,-136.3,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-264.2333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-126.4,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-183.38,516.4151362257666,-3367.0,-71.66666666666667,-106.41583333333332,26.900963229029035,-264.2333333333333,-100.0
150.0,-100.0,-100.0,-100.0,-100.0,-1538.8,-100.0,-100.0,-100.0,-100.0,-100.0,-97.7,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-3367.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-164.9,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-166.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-217.5875,559.0827406255577,-3367.0,-97.7,-103.2725,14.446754360009788,-166.0,-100.0
165.0,-1228.6,-100.0,-100.0,-100.0,-1449.7,-100.0,-100.0,-100.0,-100.0,-100.0,-80.26666666666667,-1278.1,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-121.63333333333334,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-184.13333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-367.9,-100.0,-100.0,-100.0,-100.0,-100.0,-122.0,-100.0,-100.0,-191.4575,326.19115417055195,-1449.7,-80.26666666666667,-109.35083333333333,44.09642825720394,-367.9,-100.0
180.0,-100.0,-100.0,-100.0,-100.0,-1482.7,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1311.1,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1185.7,-100.0,-100.0,-100.0,-100.0,-147.06666666666666,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-8.9,-2525.5,-100.0,-100.0,-100.0,-100.0,-100.0,-8.7,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-215.5,-100.0,-100.0,-100.0,-224.1,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-276.76666666666665,-249.24166666666665,495.32026439086775,-2525.5,-8.7,-110.40916666666666,37.775817938731265,-276.76666666666665,-100.0
195.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-2053.6,-100.0,-100.0,-100.0,-100.0,-1255.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1142.8,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1156.0,-144.56666666666666,-100.0,-7.633333333333334,-100.0,-9.7,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-152.8,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-179.2,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-156.1,-100.0,-100.0,-226.73250000000002,415.3889933679679,-2053.6,-7.633333333333334,-104.70250000000001,17.039283232487303,-179.2,-100.0
210.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-2014.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-1195.6,-100.0,-100.0,-7.533333333333333,-100.0,-9.033333333333331,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-170.6541666666667,346.4427258023988,-2014.0,-7.533333333333333,-100.0,0.0,-100.0,-100.0
